School,Business Program Info
Kent State University,"The business programs at Kent State University are offered through the **Ambassador Crawford College of Business and Entrepreneurship**.

## Accreditation and Rankings
The college holds dual AACSB accreditation in both business and accounting, a distinction achieved by less than 1% of business colleges worldwide. It is also ranked among the top business schools in the nation by U.S. News & World Report.

## Undergraduate Programs
Undergraduate students can choose from a variety of majors within the Bachelor of Business Administration (B.B.A.) program, including:
- Accounting
- Business Analytics
- Business Management
- Computer Information Systems
- Economics
- Entrepreneurship
- Finance
- General Business
- Human Resource Management
- Marketing
Additionally, the college offers 14 minor academic fields and a professional Sales Certificate program.

## Graduate Programs
The graduate offerings are extensive and include:
- **Master of Business Administration (MBA):** Available in full-time in-person and 100% online formats. The online MBA is the only Ohio program ranked in the Princeton Review’s ‘Top 50 MBA Programs for 2023’ and holds both the Quality Matters Program Design and Learner Success Certifications.
- **Specialized Master's Degrees:** In accounting, economics, and business analytics.
- **MBA Dual-Degrees:** In 12 areas, including a unique dual-masters degree with architecture and business.
- **Executive MBA:** Including an Executive MBA for Healthcare Professionals.
- **Graduate Certificates:** In areas such as accounting analytics, advanced accounting, business analytics, financial management, human resource management, international business, leadership and management, leading through challenge, and quantitative business management.

## Doctoral Program
The college offers a Ph.D. in Business Administration with five areas of concentration: accounting, finance, information systems, management, and marketing.

## Faculty and Learning Environment
The business programs are taught by an accomplished team of professors who often come from impressive executive and managerial positions. The curriculum is designed to be engaging and relevant, with a focus on group work, classroom discussions, and real-world applications. Professors are highly supportive and available for individual consultations.

## Location and Internship Opportunities
Kent State University has a sprawling campus network with regional campuses across Ohio, and its main campus is located in the heart of northeast Ohio. This location provides easy access to a high density of Fortune 500 companies within a short radius, offering numerous internship opportunities to enhance students' learning."
"Miami University
(Miami of Ohio)","The business program at Miami University (Ohio) is housed within the **Farmer School of Business (FSB)**.

## Name and Accreditation
The Farmer School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB International), a prestigious accreditation that signifies the school's commitment to excellence in business education.

## Undergraduate Programs
The Farmer School of Business offers a Bachelor of Science in Business degree with majors in several areas, including accountancy, business analytics, business economics, finance, human capital management and leadership, information and cybersecurity management, marketing, real estate, and supply chain and operations management. Additionally, a co-major in entrepreneurship is available. The program requires students to complete a minimum of 124 semester hours, including the Miami Plan, the business core, and electives. A key component of the program is the Business Capstone Experience, which is a senior-level, writing and speaking intensive course that integrates previous coursework.

## Graduate Programs
The Farmer School of Business also offers several graduate programs, including a Master of Business Administration (MBA) designed for working professionals. The MBA program can be completed on a part-time basis over two years, with options for evening classes, fully online, or a hybrid format. The program consists of 36 semester hours, including core courses and elective concentrations.

## Notable Details
- **Experiential Learning**: The Farmer School of Business emphasizes experiential learning, with students working on projects with real business clients starting from their first year. This includes participating in competitions, client projects, internships, and study abroad opportunities.
- **Faculty and Teaching**: All classes are taught by full-time, world-class faculty with real-world business experience. The school is known for its close faculty-student relationships and accessible faculty.
- **Rankings and Recognition**: The Farmer School of Business is highly ranked, including being recognized as a Top 5 public university for career outcomes and a Top 10 public university for academic experience by Poets & Quants. It is also ranked 17th among public universities and 39th overall in the 2021 Poets & Quants Ranking of Undergraduate Business Programs.
- **Facilities and Centers**: The school is housed in a state-of-the-art building with various facilities, including case classrooms, cluster rooms, a trading room, and several centers such as the William Isaac and Michael Oxley Center for Business Leadership, the Center for Supply Chain Excellence, and the Center for Real Estate Finance and Investment.

## Student Opportunities
The school offers over 30 student organizations and honor societies, providing numerous opportunities for students to differentiate themselves through internships, study abroad programs, and other activities. The school's strong partnerships with employers ensure that graduates are well-prepared and highly sought after by top organizations."
"Northern Illinois University
(NIU)","The business program at Northern Illinois University (NIU) is housed within the **NIU College of Business (NIU COB)**, which has a rich history and several notable distinctions.

## History and Accreditation
The NIU College of Business was established in 1961, evolving from the Business Department formed in 1951. It is accredited by the Association to Advance Collegiate Schools of Business (AACSB), a credential held by only about 4% of business schools worldwide. This accreditation includes both the college and its Department of Accountancy, which have maintained continuous AACSB accreditation since 1969 and 1983, respectively.

## Departments and Programs
The college offers a variety of undergraduate and graduate programs through several departments:
- Accountancy
- Business Administration
- Finance
- Management
- Marketing
- Operations Management and Information Systems

Undergraduate programs, such as the Bachelor of Science in Business Administration, cover a broad range of business concepts, including marketing, accounting, and data analytics. This program prepares students for roles in various industries and offers strong career potential, with alumni working in fields like finance, hospitality, human resources, and more.

## Facilities
The college is located in Barsema Hall, a state-of-the-art building completed in 2002. This 144,000 square foot facility features classrooms, computer labs, a 375-seat auditorium, specialized labs, faculty and staff offices, and various spaces for studying, meeting, and dining.

## Rankings and Recognition
- The NIU College of Business is ranked #4 among the best undergraduate business schools in Chicago and is recognized as one of the nation's best undergraduate business programs, ranking 79th out of 550 U.S.-based AACSB-eligible business programs according to Bloomberg Businessweek's 2016 survey.
- The college is also ranked in the top quarter of best business schools by US News & World Report and is noted for having the best return on investment among business schools in Illinois.
- The MBA programs, including the evening MBA and executive MBA, are ranked in the top tier globally by CEO Magazine and the part-time MBA program is ranked #95 nationally by U.S. News & World Report.

## MBA Programs
NIU offers several MBA programs, including an online MBA that can be completed in as little as 16 months. This program is fully online and asynchronous, allowing flexibility for working professionals. The curriculum emphasizes leadership, ethics, and a global view of business, and it consists of two phases: business foundation core and business applications core with electives.

## Ethics and Specializations
The college is particularly noted for its strong integration of ethics into the curriculum, ranking in the top 3 nationally for four consecutive years in this area according to Bloomberg Businessweek.
Additionally, the college's Professional Sales program is continually recognized as one of the best sales programs in North America by the Sales Education Foundation.

Overall, the NIU College of Business is known for its high-quality education, strong connections with the business community, and excellent career outcomes for its graduates."
Ohio University,"The business program at Ohio University is housed within the **Ohio University College of Business**.

## Notable Details

- **Comprehensive Educational Approach**: The College of Business emphasizes a layered, personalized educational experience that goes beyond a single degree or internship. Students engage in multiple varied experiences, including serving as team leaders and contributors, traveling beyond their communities, leading real-world projects for business partners, and participating in internships and graduate capstones.

## Degree Programs

The college offers a wide range of undergraduate and graduate degree programs, including:
- **Bachelor of Business Administration (BBA)** in various majors such as Accounting, Business Analytics, Business Economics, Entrepreneurship, Finance, International Business, Management & Strategic Leadership, Management Information Systems, and Marketing.
- **Bachelor of Science in Sport Management (BSM)**
- **Business Management Technology (BMT)**, an Associate in Applied Business (AAB) program focused on supervision and management.

## Online and Flexible Programs

Ohio University's College of Business also offers flexible and online programs, including:
- **Business Studies Major (B.S.)**, a fully online, accredited bachelor's degree program designed for students with associate degrees or those seeking to further their education. This program integrates general and technical skills with professional skills and dispositions necessary for advancement in business.

## Experiential Learning and Career Support

The college is known for its strong emphasis on experiential learning and career preparation. Students have access to internships, full-time employment opportunities, and close connections with leading companies through the Business Academic Advising & Career Services center. This support ensures students develop not only business acumen but also essential soft skills like communication, organization, problem-solving, collaboration, and leadership.

## Rankings and Recognition

Ohio University's College of Business is consistently ranked and recognized among the country’s best business schools, reflecting the quality of its programs, faculty, and educational experience.

## Events and Engagement

The college hosts events such as the **College of Business Experience Day**, which allows prospective students to explore academic programs, interact with faculty, and learn about student support services and career opportunities.

Overall, the Ohio University College of Business is distinguished by its holistic approach to business education, emphasizing both academic rigor and practical, real-world experiences."
University of Toledo,"The University of Toledo offers its business programs through the **John B. and Lillian E. Neff College of Business and Innovation**.

### Notable Details

- **Accreditation**: The College of Business and Innovation is accredited by the Association to Advance Collegiate Schools of Business (AACSB), which is a prestigious accreditation that indicates the school meets the highest standards in teaching, research, curriculum, and learner success.
- **Rankings**: The college's undergraduate and graduate programs are nationally ranked by U.S. News & World Report, and it has been recognized by Eduniversal.com as an 'Excellent Business School'.
- **Flexibility**: Many programs, including the Bachelor of Business Administration (B.B.A.) in Management, can be completed entirely online or through evening classes, offering flexibility for students.

### Programs and Specializations

- **Bachelor of Business Administration (B.B.A.) in Management**: This program focuses on general management issues, teaching students about the latest business technology, leadership, and organizational growth. It offers hands-on learning through internships and practical projects, and students can individualize their program by choosing courses that align with their interests.
- **Entrepreneurship and Innovation**: This program is designed for students who want to start their own businesses or work in innovative companies. It includes hands-on learning, business plan competitions, and access to the LaunchPad Incubation program for startups.
- **Other Programs**: The college also offers programs in areas such as Professional Sales, Accounting, Marketing, Finance, and Operations and Supply Chain Management, among others.

### Hands-On Learning and Career Opportunities

- **Internships**: The college has robust community partnerships that facilitate internships with companies like Dana Incorporated, Ernst & Young, Marathon Petroleum Corporation, and others. More than 85% of students find internships through the Business Career Programs office.
- **Research Opportunities**: Students can engage in undergraduate research starting as early as their freshman year, working with faculty mentors and presenting their research at conferences.
- **Study Abroad**: The university offers various study abroad programs, including semester, summer, and faculty-led trips to multiple countries, providing students with global experiences.
- **Career Support**: The college provides career advice, mock interviews, resume help, and job fairs through its Business Career Programs office, ensuring students are well-prepared for their careers.

### Additional Resources

- **Honors College**: The Jesup Scott Honors College offers additional resources and opportunities for high-achieving students, including academic advising, research opportunities, and a diverse community of students from various backgrounds.
- **Facilities and Faculty**: The college boasts top-notch facilities, such as the Savage & Associates Complex, and faculty who are experienced in their fields and actively involved in mentoring students.

Overall, the John B. and Lillian E. Neff College of Business and Innovation at the University of Toledo is known for its strong industry partnerships, practical learning experiences, and commitment to preparing students for successful careers in a dynamic business world."
Western Michigan University,"The business programs at Western Michigan University are housed within the **Haworth College of Business**.

## Notable Details

- **Accreditation and Recognition**: The Haworth College of Business is nationally recognized for its programs, indicating a high standard of education and accreditation.

## Undergraduate Programs

- The college offers a **Bachelor of Business Administration (BBA)** degree with various majors, including Accountancy, Advertising and Promotion, Business Analytics, Business Law, Computer Information Systems, Digital Marketing and eCommerce, Economics, Finance, Food Marketing, Human Resource Management, Integrated Business Administration, Leadership and Business Strategy, Marketing, Personal Financial Planning, Sales and Business Marketing, and Supply Chain Management.

## Graduate Programs

- **Master of Business Administration (MBA)**: The MBA program is available in several specializations, including International Business, Aviation, Computer Information Systems, Finance, Health Care, Management, and Marketing. The program is designed to enhance career prospects and can be completed in-person, online, or through the Hy-Flex format.
- **Master of Science (MS) Programs**: These include degrees in Cybersecurity: Computer Information Systems, Supply Chain Management, Accountancy (M.S.A.), and Finance (M.S.F.) with specializations such as Corporate Financial Planning & Analysis, Data Analytics in Finance, and Securities & Markets.

## Minors and Certificates

- The college also offers various minors in fields like Accountancy, Advertising and Promotion, Business Analytics, Business Communication, Entrepreneurship, Finance, Food Marketing, General Business, Human Resource Management, International Business, and Supply Chain Management. Additionally, there are graduate certificate programs in areas such as Business Analytics, Cybersecurity, Finance, Financial Technology, Food Marketing, and Supply Chain Management.

## Unique Programs

- The **Sales and Business Marketing** program is particularly noteworthy, as it is one of the few undergraduate programs in the U.S. focused on selling and sales management. It has been named a top sales program in the U.S. for 16 consecutive years by the Sales Education Foundation.

## Resources and Support

- Students at the Haworth College of Business have access to the **Zhang Career Center** and the **Student Professional Readiness Series**, which provide significant support for career development and professional readiness.

Overall, the Haworth College of Business at Western Michigan University offers a comprehensive range of programs, resources, and opportunities that prepare students for successful careers in various business fields."
Belmont University,"The business programs at Belmont University are housed within the **Jack C. Massey College of Business**.

## Notable Details

### Accreditation
The Massey College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB), a prestigious accreditation held by fewer than 5% of business schools worldwide. Belmont University is the only private college or university in Tennessee to achieve AACSB accreditation for its BBA, MBA, and accounting programs.

### Undergraduate Programs
At the undergraduate level, the Massey College of Business offers 13 majors, including entrepreneurship, marketing, supply chain management, and more. The General Business major is particularly flexible, allowing students to choose from a broad range of upper-level business courses, making it easy for students to switch majors within the college without extending their graduation date.

### Graduate Programs
The graduate programs include several options:
- **Master of Accountancy**: For students focusing on accounting.
- **Master of Science in Applied Analytics**: For those interested in data analytics.
- **Master of Business Administration (MBA)**: Offered in three tracks:
  - **Accelerated MBA**: Designed for recent college graduates, this program can be completed in less than a year. It includes core courses and elective options such as healthcare analytics, music business, and global managerial economics.
  - **Professional MBA**: Tailored for working professionals with at least two years of significant work experience. This program offers flexibility with in-person, online, or a mix of both course formats and can be completed between 15 months and two years.

### Curriculum and Courses
The MBA programs cover the functional areas of business, including accounting, business law, finance, management, marketing, business technology, leadership, ethics, and strategic management. Elective courses are available in various fields such as entrepreneurship, international business, and healthcare management.

### Career Outcomes
The Massey College of Business has a strong track record of placing graduates in their field, with 96% of students finding jobs within six months of graduation. This success is attributed to the robust internship program, high-quality education, and the college's extensive network in the Nashville area.

### Additional Opportunities
Students at the Massey College of Business have access to various opportunities, including monthly professional development events, lectures by top business professionals, international travel through the Global Practicum, and customized career guidance from the Career Development Center.

Overall, the Jack C. Massey College of Business at Belmont University is known for its practical, hands-on education, ethical focus, and strong industry connections, making it one of the best business schools in Tennessee."
Bradley University,"The business program at Bradley University is housed within the **Foster College of Business**. Here are some notable details about the program:

## Accreditation and Rankings
The Foster College of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB International), placing it among the top 2 percent of business schools worldwide that are accredited in both business and accounting.

## Academic Programs
- The college offers a comprehensive undergraduate education with nine majors, 15 minors, and three graduate degrees. Undergraduate majors include accounting, actuarial science-business, business analytics, economics, entrepreneurship, finance, international business, management and leadership, and marketing, among others.
- Graduate programs include a Master of Business Administration (MBA) and other specialized graduate degrees in accounting and internal auditing.

## Facilities
The Foster College of Business is located in a new $100 million building that also houses the College of Engineering. This convergence center features 270,000 square feet of academic space, including 28 classrooms, eight computer labs, 46 specialized labs, and 30 collaboration and meeting spaces.

## Experiential Learning
The program emphasizes experiential learning through internships, class projects, and networking with professionals. This approach helps students develop practical skills and prepares them for their careers, resulting in a 95 percent career outcomes rate.

## Special Recognitions
- Bradley’s accounting program has the highest CPA exam pass rate for advanced degree students among Illinois schools.
- The college is ranked in the top third of business schools in the country by U.S. News & World Report, making it one of the top private undergraduate business programs in Illinois.

## Curriculum and Structure
The undergraduate curriculum includes the Bradley Core Curriculum (BCC), college core courses, and major-specific courses. The BCC focuses on developing communication skills and intellectual growth, while the college core prepares students to be well-rounded business professionals. Graduate programs, such as the MBA, focus on deepening business acumen, integrative thinking, change management, and leadership.

## Career Outcomes
Graduates of the Foster College of Business have found employment in prominent organizations such as the Federal Reserve, IBM, PricewaterhouseCoopers, Wells Fargo, and Walt Disney Co., with nearly all students finding employment within six months of graduation."
University of Evansville,"The business program at the University of Evansville is housed within the **Schroeder Family School of Business Administration**, which is part of the College of Business and Engineering.

Here are some notable details about the school:

## Faculty and Education
The Schroeder School of Business is known for providing a world-class education delivered by outstanding faculty, with a focus on personal attention and strong career outcomes.

## Programs Offered
The school offers a variety of undergraduate and graduate programs, including:
- **Business**: A general business major
- **Business Analytics**
- **Finance**
- **Global Business**
- **Logistics and Supply Chain Management**
- **Management**
- **Marketing**
- And other specialized business fields.

## Hands-on Learning
The curriculum incorporates hands-on learning and experiential opportunities through classroom lectures, exercises, internships, and mentorships. This approach prepares students for successful careers in their chosen fields.

## Additional Resources
The College of Business and Engineering, which includes the Schroeder School of Business, offers additional programming and support beyond traditional academics. This includes flexible and affordable programs for adult students, such as degree completion programs and master’s degrees, as well as bridge programming and certification opportunities for high school students through the Center for the Advancement of Learning.

## Location and Contact
The Schroeder School of Business is located in Room 152 of the Schroeder School of Business Building, and can be contacted at 812-488-2851 or via email at businessadmin@evansville.edu."
Illinois State University,"The business programs at Illinois State University are housed within the **Illinois State University College of Business**.

## Notable Details

### Accreditation and Rankings
- The College of Business holds dual accreditation from the Association to Advance Collegiate Schools of Business (AACSB) International, a distinction shared by only about 2% of business schools worldwide.
- The college has been recognized in various rankings, including being listed among the Best Undergraduate Business Schools by *Bloomberg Businessweek* and one of the Best Business Schools in the Midwest by *The Princeton Review*.

### Academic Departments and Programs
- The College of Business is divided into five academic departments:
  - Accounting
  - Finance, Insurance, and Law
  - Management and Quantitative Methods
  - Marketing
  - Master of Business Administration (MBA).
- The college offers a range of undergraduate and graduate programs, including majors in Accountancy, Business Administration, Business Information Systems, Business Education, Finance, Risk Management and Insurance, International Business, Management, and Marketing. Minor programs are also available.

### Facilities
- The College of Business is located in the State Farm Hall of Business, a $28 million facility that opened in 2005.

### Special Programs and Initiatives
- Illinois State University is the only public university in Illinois offering a major in International Business and has a highly ranked insurance program (ranked No. 8 in the nation by *U.S. News & World Report* in 2022).
- The college participates in the United Nations-sponsored Principles for Responsible Management Education (PRME) initiative, promoting socially responsible corporate behavior.
- The Department of Accounting has one of the highest CPA pass rates among public universities in Illinois and is endorsed by the Institute of Management Accountants for the Certified Management Accounting (CMA) designation.

### Research and Faculty
- The Business Information Systems Faculty, part of the Department of Accounting, are recognized experts who publish research in top journals.

### Student Opportunities
- Students have access to various opportunities such as internships, mentorships, and job shadowing through programs like the Institute for Financial Planning and Analysis and the Professional Sales Institute.
- The college offers a Leadership Certificate Program and a global network of relationships for study abroad and international internships through the International Business Institute.

### MBA Program
- The MBA program at Illinois State University offers a traditional program with a HyFlex model, allowing students to participate either face-to-face or online. The program is designed to be flexible for working professionals and includes options such as a STEM MBA and a program in partnership with Quality Leadership University in Panama City, Panama.

Overall, the Illinois State University College of Business is highly regarded for its academic excellence, accreditation, and the variety of programs and opportunities it offers to its students."
Indiana State University,"The business programs at Indiana State University are housed within the **Scott College of Business**.

### Notable Details

- **Accreditation**: The Scott College of Business holds accreditation from the Association to Advance Collegiate Schools of Business (AACSB International), a distinction achieved by fewer than 5% of business schools worldwide.

### Undergraduate Programs

- The Scott College of Business offers a variety of undergraduate majors, including Accounting, Business Administration, Finance, Human Resource Development, Insurance and Risk Management, Management, and Marketing. However, starting with the 2024-25 academic year, the Business Administration major will no longer be available for incoming freshmen and transfer students, who are instead encouraged to choose industry- or profession-specific majors.
- The undergraduate programs emphasize experiential learning, hands-on inquiry, research, internships, and other learning programs. Students benefit from small class sizes and faculty with professional business experience.

### Graduate Programs

- **Master of Business Administration (MBA)**: The Scott College of Business offers several MBA programs tailored to different needs:
  - **Scott Online MBA**: An asynchronous online program that can be completed in 12, 18, or 24 months. It is designed for flexibility and allows students to start in various terms throughout the year.
  - **Scott On-campus MBA**: An on-campus program with evening classes, also completed within 18 to 24 months. This program emphasizes real-world business practices and innovative solutions.
  - **Scott ProMBA at Westfield**: A cohort-based program for mid-career professionals, offered in a hybrid format with in-person evening classes in Westfield, Indiana. This program runs over five semesters and focuses on real-world business practices and professional networking.

### Curriculum and Concentrations

- The MBA programs include core courses such as Advanced Management Practices, Quantitative Problem Solving, Accounting for Decision Making, and Strategic Marketing Management. Students can also choose from various concentrations, including Accounting, Entrepreneurship, Finance, Human Resource Development, Marketing, and Operations and Supply Chain Management.

### Global Learning Opportunities

- Both undergraduate and graduate students have the opportunity to participate in short-term study-abroad experiences focused on entrepreneurship and international business practices. Past destinations have included Brazil, Portugal, Croatia, and India.

### Career Outcomes

- The Scott College of Business boasts a high placement rate, with a 96% placement rate for undergraduate students and an average starting salary of $55,277. For MBA graduates, the average starting salary is over $82,000, with many alumni working in top companies such as Apple, Boeing, and Rolls-Royce.

### Faculty and Learning Environment

- The college is known for its supportive and innovative faculty, many of whom have professional experience in business. The learning environment is designed to be experiential, with opportunities for hands-on learning, internships, and involvement in campus organizations and networking events.

Overall, the Scott College of Business at Indiana State University is recognized for its high-quality, accredited programs that prepare students for careers in a global business environment."
Missouri State University,"At Missouri State University, the primary business programs are housed within the **College of Business (COB)**.

## College of Business (COB)

- The College of Business offers a wide range of undergraduate and graduate programs. There are 27 distinct Bachelor of Science programs available, providing students with specialized degree options in various fields such as accounting, finance, insurance, management, marketing, and more.

## Undergraduate Programs

- Students can choose from a variety of undergraduate majors, allowing them to tailor their education to their professional goals. The General Business undergraduate program, for example, offers flexible course choices and the opportunity to specialize in areas like accounting, information technology, finance, insurance, management, or marketing. This program is also available 100% online.

## Graduate Programs

- The COB offers six graduate programs, including a Master of Business Administration (MBA). The MBA program is available both on-campus and 100% online, providing flexibility for working professionals. The graduate programs are designed to help students gain a strong foundation in their chosen field or explore new career paths.

## Notable Details

- **Accreditation**: The College of Business is fully accredited by the Association to Advance Collegiate Schools of Business (AACSB), a distinction held by only 5% of colleges worldwide.

- **Job Placement**: The COB boasts a high job placement rate, with 91% of the 2022-23 graduates employed or attending graduate school six months after graduation.

- **Employer Engagement**: The college has strong ties with employers, with 233 employers attending career fairs in the 2023-24 academic year to recruit students. The on-site Career Center connects business students with numerous employment opportunities.

- **Facilities and Resources**: The COB is housed in Glass Hall, which underwent a total renovation and expansion in 2017. Students have access to state-of-the-art facilities and resources, including industry advisory boards and research opportunities.

- **Scholarships and Financial Aid**: The college awards significant amounts in donor-funded scholarships; for example, $441,147 was awarded in the 2023-24 academic year.

- **Living-Learning Community**: The Bears Business Community is a living-learning community where students with similar interests or majors live together and participate in various social and academic activities.

Overall, the College of Business at Missouri State University is known for its comprehensive programs, strong industry connections, and commitment to student success."
Murray State University,"The business program at Murray State University is housed within the **Arthur J. Bauernfeind College of Business**.

## Notable Details

- **Accreditation**: The Arthur J. Bauernfeind College of Business holds the prestigious accreditation from the Association to Advance Collegiate Schools of Business (AACSB), a distinction achieved by only 5% of business schools worldwide. Murray State was the second business school in Kentucky to receive this accreditation, which it has maintained since 1976.

## Departments and Programs

The college encompasses several departments, each offering a range of undergraduate and graduate programs:

- **Department of Accounting**: Offers various tracks including Accounting/Information Systems, Accounting/Finance, and Accounting/Financial Planning.
- **Department of Computer Science and Information Systems**: Provides programs that combine business and technology, including online master's degrees in Information Systems and Cybersecurity Management.
- **Department of Economics and Finance**: Offers majors in Economics and Finance, along with specialized tracks and graduate certificates in areas like Forensic Accounting and Business Analytics.
- **Department of Journalism and Mass Communications**: Includes programs in Mass Communications and Public Relations.
- **Department of Management, Marketing, Business Administration, and Logistics & Supply Chain Management**: Offers degrees in Business Administration, Logistics and Supply Chain Management, Management, and Marketing. The Business Administration program prepares students for a broad range of career opportunities and includes an international business track.
- **Department of Organizational Communication and Leadership**: Provides majors and minors in Organizational Communication and Leadership, as well as graduate programs in Nonprofit Leadership Studies.

## Graduate Programs

The college offers several graduate programs, including:
- **Master of Business Administration (MBA)**: Available on-campus and online, with various specializations such as Forensic Accounting, Business Analytics, Cybersecurity, and more.
- **Master of Public Administration (MPA)**: Including an online MPA in Nonprofit Leadership.

## Online Programs

Murray State University offers several online business programs, including the Bachelor of Science in Business, which can be completed entirely online through a transfer agreement with the Kentucky Community and Technical College System (KCTCS). Online programs also include the MBA and various master's degrees in Information Systems and other specialized fields.

## Learning and Career Opportunities

The college emphasizes hands-on learning through various means such as finance classrooms, the Murray State News, research projects, and internships. It also works closely with the Murray State Career Service office and business and government agencies to support students' career and community service endeavors.

## Faculty and Student Engagement

The faculty are recognized for their expertise and passion for teaching, and the college fosters a supportive environment that encourages student growth and success. Students have opportunities to engage in clubs, internships, and study abroad programs, enhancing their educational experience."
"Southern Illinois University Carbondale
(Southern Illinois/SIU)","At Southern Illinois University Carbondale (SIU), the business programs are housed within the **College of Business and Analytics**.

## Notable Programs

### Bachelor of Science in Business and Administration
- This is an online degree completion program designed for working adults to complete the last two years of their Bachelor of Science degree. It offers flexibility for those with work or family commitments, and it prepares students for careers in various fields such as accounting, finance, management, operations, and marketing.

### Specialized Undergraduate Programs
- SIU offers traditional business degrees in finance, accounting, marketing, and management. Additionally, there are programs in agribusiness, hospitality and tourism, sports administration, and business analytics. Each program combines theoretical knowledge with hands-on learning to prepare students for their careers.

### Master of Business Administration (MBA)
- Although the MBA program mentioned in the sources is from Southern Illinois University Edwardsville (SIUE), SIU Carbondale also offers an online MBA program. The program at SIU Carbondale is taught by highly respected faculty and is delivered in an engaging, technologically advanced format. It attracts students from around the world and is designed to prepare students to become future business leaders.

### Other Programs
- The College of Business and Analytics also offers degrees in business analytics, economics, health care management, public administration, and quantitative economics. These programs are designed to equip students with the skills necessary for a variety of careers, including data science, artificial intelligence, and strategic decision-making.

## Teaching and Faculty
- The programs are taught by faculty with national and international reputations, ensuring students receive high-quality education and real-world insights.

## Student Resources and Organizations
- Students have access to various student organizations such as the American Marketing Association, Accounting Society, and Financial Management Association, among others. The college also offers several need-based and merit-based scholarships exclusively for business students.

## Accreditation and Recognition
- While the specific accreditation details for SIU Carbondale's business programs are not mentioned in the sources, it is common for business schools to seek accreditation from bodies like the Association to Advance Collegiate Schools of Business (AACSB) International, as seen with other institutions.

Overall, the College of Business and Analytics at SIU Carbondale provides a comprehensive and flexible education in business, catering to both traditional students and working professionals."
"University of Illinois Chicago
(UIC)","The business programs at the University of Illinois Chicago (UIC) are offered through the **UIC Business Liautaud Graduate School** and the **College of Business Administration**.

## College of Business Administration

- The College of Business Administration is accredited by the Association to Advance Collegiate Schools of Business (AACSB), a prestigious accreditation for business schools.
- UIC's undergraduate business program is highly regarded, ranked as the #1 business program among accredited undergraduate business programs in Chicago by *U.S. News & World Report*, and it is among the top 15 percent of the 467 AACSB-accredited programs.
- The college offers degrees in eight areas: accounting, entrepreneurship, finance, human resource management, information and decision sciences, management, marketing, and real estate studies. There is also a Bachelor of Business Administration degree-completion program available both on campus and online.

## UIC Business Liautaud Graduate School

- The Liautaud Graduate School offers a range of graduate programs, including a Master of Business Administration (MBA) with evening, weekend, and accelerated enrollment options. The MBA program is structured to provide flexibility for working professionals and includes core courses in accounting, microeconomics, finance, operations management, organizational behavior, and marketing. Students can also pursue elective courses in various concentrations such as accounting, business analytics, economics, entrepreneurship, finance, human resource management, international business, management, management of information systems, marketing, operations and supply chain management, and real estate.
- In addition to the MBA, the school offers six specialized master's degrees, four of which are STEM-designated. These programs include Master of Science degrees in Business Analytics, Finance, Information Systems, and Marketing.
- The school boasts a strong alumni network of over 37,000, a unique professional development program, study abroad opportunities, and a dedicated Business Career Center. UIC is also ranked a Top 10 Best Value University by the Wall Street Journal and Times Higher Education.

## Notable Details

- **Location and Environment**: UIC is situated in Chicago, providing students with access to a vibrant urban business community and a diverse student body. The school's proximity to Chicago's business hub offers students a ""living classroom"" with numerous opportunities for internships, networking, and professional development.
- **Diversity and Global Reach**: The student body at UIC is diverse, with representation from over 98 countries and 34 states. This diversity enriches the learning environment and prepares students for a global business landscape.
- **Faculty and Research**: The faculty at UIC Business are known for their research and scholarly work, publishing in leading journals in their fields. This ensures that students receive a high-quality, research-based education.

Overall, the business programs at UIC are recognized for their academic rigor, real-world application, and strong connections to the business community, making them a valuable choice for students seeking a comprehensive business education."
Valparaiso University,"The business programs at Valparaiso University are housed within the **College of Business**, which is renowned for its commitment to values-based leadership and global business education.

## Notable Details

### Accreditation and Rankings
The College of Business at Valparaiso University is accredited by the Association to Advance Collegiate Schools of Business (AACSB), placing it among the top 5% of business schools worldwide with this accreditation.

### Undergraduate Programs
The college offers seven undergraduate majors:
- Accounting
- Business Analytics
- Finance
- International Business
- Management
- Marketing
- Supply Chain Management & Logistics
These programs emphasize practical learning, with all students required to complete at least one internship or co-op before graduation, providing real-world experience and opportunities to expand their professional networks.

### MBA Program
The Master of Business Administration (MBA) program is highly regarded, recognized by U.S. News and World Report and Money’s Best Grad School Programs. The program can be completed in as little as one year and offers flexible delivery options, including fully online, hybrid, and in-person classes. The MBA program is noted for its high placement rate, with an average early career salary of $64,840 for its graduates. It has also been recognized by the Princeton Review as a top-five Green MBA for its focus on sustainability and responsibility.

### Learning-by-Doing Approach
The college emphasizes a ""learning-by-doing"" approach, incorporating external projects and service opportunities with local businesses. This hands-on learning complements the classroom curriculum and prepares students to navigate the globalized business environment effectively.

### Faculty and Student Experience
The College of Business is known for its close faculty ties and high-touch student experience. The faculty are dedicated to providing an excellent student experience, and the college's focus on values-based global leadership ensures that graduates are equipped to lead with integrity and excellence.

### Global and Ethical Focus
Valparaiso University's College of Business places a strong emphasis on global understanding and ethical practices. Students are prepared to lead diverse, multinational work teams and to react to international events while maintaining strong moral character.

Overall, the College of Business at Valparaiso University stands out for its commitment to academic excellence, practical learning, and values-based leadership."
